latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.6392,76.5823,316.2,1.8,1.3,2021-01-02,0801,Aqua,MODIS,68,6.03,299.2,17.4,D,0
12.6419,76.5985,313.7,1.8,1.3,2021-01-02,0801,Aqua,MODIS,64,6.03,298,12.7,D,0
12.1674,75.2479,314.6,1,1,2021-01-03,0540,Terra,MODIS,65,6.03,300,5.7,D,0
12.1931,76.9906,306.6,1.2,1.1,2021-01-18,1725,Terra,MODIS,69,6.03,288.7,10.2,N,0
12.2713,77.203,319.4,2.1,1.4,2021-01-19,0843,Aqua,MODIS,70,6.03,301.6,23.2,D,0
12.6409,76.9439,314.6,1,1,2021-01-21,0527,Terra,MODIS,56,6.03,301.5,5.7,D,0
12.6869,76.9413,315.6,1,1,2021-01-21,0527,Terra,MODIS,59,6.03,302,6.4,D,0
12.6396,76.953,318.8,1,1,2021-01-21,0527,Terra,MODIS,67,6.03,301.5,9.5,D,0
10.2895,77.089,320.4,1.2,1.1,2021-01-21,0830,Aqua,MODIS,69,6.03,294.7,18.3,D,0
12.3698,76.675,327,1.2,1.1,2021-01-21,0831,Aqua,MODIS,77,6.03,306.7,17.2,D,0
12.7182,76.6393,325.5,1.2,1.1,2021-01-21,0831,Aqua,MODIS,75,6.03,305.3,15.9,D,0
12.2406,77.1805,318.9,1.2,1.1,2021-01-21,0831,Aqua,MODIS,52,6.03,302.4,9.3,D,0
12.7229,76.643,328.2,1.2,1.1,2021-01-21,0831,Aqua,MODIS,78,6.03,305.1,18.5,D,0
12.5383,77.0226,313.6,1.3,1.1,2021-01-23,0515,Terra,MODIS,60,6.03,299.1,8.8,D,0
12.3402,77.2035,316.3,1.3,1.1,2021-01-23,0515,Terra,MODIS,45,6.03,300.6,8.6,D,0
12.3392,77.209,316.5,1.3,1.1,2021-01-23,0515,Terra,MODIS,46,6.03,301.5,8.7,D,0
10.3033,77.0957,309.8,1.2,1.1,2021-01-23,0516,Terra,MODIS,43,6.03,293.8,8.7,D,0
12.5721,77.3943,321.6,1,1,2021-01-23,0819,Aqua,MODIS,70,6.03,304.7,10.4,D,0
12.6895,77.1843,322.1,1,1,2021-01-23,0819,Aqua,MODIS,71,6.03,302.5,10.9,D,0
12.7149,74.9766,315.9,1.1,1.1,2021-01-23,0819,Aqua,MODIS,62,6.03,302.1,8.6,D,0
9.7339,77.0367,312.2,1.4,1.2,2021-01-25,0806,Aqua,MODIS,45,6.03,297.4,13,D,0
11.6508,76.6704,322,1.4,1.2,2021-01-25,0806,Aqua,MODIS,70,6.03,309.4,14.6,D,0
12.2675,77.3214,320.3,1.3,1.1,2021-01-25,0806,Aqua,MODIS,68,6.03,305.4,11.7,D,0
12.2658,77.3101,325.5,1.3,1.1,2021-01-25,0806,Aqua,MODIS,76,6.03,305.2,19.4,D,0
12.343,76.6915,324.3,1.4,1.2,2021-01-25,0807,Aqua,MODIS,74,6.03,309.6,16.7,D,0
11.3646,76.6987,310.6,1.5,1.2,2021-01-26,0546,Terra,MODIS,53,6.03,295.6,12.9,D,0
11.3621,76.7135,309.8,1.5,1.2,2021-01-26,0546,Terra,MODIS,48,6.03,297.7,12,D,0
11.3597,76.7064,318.4,1.5,1.2,2021-01-26,0546,Terra,MODIS,72,6.03,298.1,23.8,D,0
12.4033,76.6875,315.9,1.5,1.2,2021-01-26,0546,Terra,MODIS,65,6.03,302.3,12.5,D,0
12.5468,76.8048,312.7,1.5,1.2,2021-01-26,0546,Terra,MODIS,41,6.03,302.7,7.7,D,0
12.7157,74.9772,316.8,1.1,1.1,2021-01-26,0546,Terra,MODIS,67,6.03,306.3,10,D,0
12.7141,74.9876,316.2,1.1,1.1,2021-01-26,0546,Terra,MODIS,66,6.03,305.4,9.7,D,0
10.1594,77.0316,307.4,1,1,2021-01-27,1718,Terra,MODIS,71,6.03,281.8,10.4,N,0
10.1684,77.0303,306.5,1,1,2021-01-27,1718,Terra,MODIS,68,6.03,282.2,9.9,N,0
11.8034,77.0135,302.3,1,1,2021-01-27,1719,Terra,MODIS,48,6.03,289.3,5.9,N,0
12.7799,76.3499,310.3,1,1,2021-01-28,0533,Terra,MODIS,28,6.03,300,3.3,D,0
12.7178,76.765,316.1,1,1,2021-01-28,0533,Terra,MODIS,65,6.03,303.2,6.2,D,0
12.6668,76.6146,320.6,1,1,2021-01-28,0533,Terra,MODIS,73,6.03,301.6,11,D,0
12.495,77.2569,314.5,1.1,1,2021-01-28,0533,Terra,MODIS,45,6.03,303.1,6.2,D,0
12.7135,75.6826,311.3,1,1,2021-01-28,0533,Terra,MODIS,50,6.03,298,7.3,D,0
10.0394,77.4991,315.4,1.1,1.1,2021-01-28,0534,Terra,MODIS,63,6.03,303.5,6.3,D,0
9.4743,77.2931,308.9,1.1,1.1,2021-01-28,0534,Terra,MODIS,37,6.03,294.2,8,D,0
9.449,77.2956,318.8,1.5,1.2,2021-01-28,0836,Aqua,MODIS,70,6.03,295.5,22.8,D,0
9.4596,77.2942,333,1.5,1.2,2021-01-28,0836,Aqua,MODIS,85,6.03,296.6,49.9,D,0
9.5272,77.1076,312,1.4,1.2,2021-01-28,0836,Aqua,MODIS,43,6.03,298.5,9,D,0
9.5727,77.2054,321.1,1.4,1.2,2021-01-28,0836,Aqua,MODIS,73,6.03,299,23.5,D,0
9.571,77.1929,323.8,1.4,1.2,2021-01-28,0836,Aqua,MODIS,67,6.03,298.7,28.4,D,0
9.5657,77.201,328.5,1.4,1.2,2021-01-28,0836,Aqua,MODIS,81,6.03,299.3,37.5,D,0
12.5064,77.3804,321.3,1.6,1.3,2021-01-28,0837,Aqua,MODIS,71,6.03,305.9,14.9,D,0
12.7149,75.7124,315.6,1.3,1.1,2021-01-28,0837,Aqua,MODIS,45,6.03,303.2,11.6,D,0
10.4453,77.2692,303,1.1,1.1,2021-01-29,1706,Terra,MODIS,53,6.03,292,4.7,N,0
9.5471,77.126,325.3,1,1,2021-01-30,0824,Aqua,MODIS,76,6.03,297.2,18.7,D,0
9.5458,77.1169,314.3,1,1,2021-01-30,0824,Aqua,MODIS,51,6.03,296.4,7.3,D,0
