latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.68384,76.67538,342.22,0.46,0.64,2021-01-02,0853,N,VIIRS,n,2,297.58,7.77,D,0
11.68327,76.67039,331.08,0.46,0.64,2021-01-02,0853,N,VIIRS,n,2,296.18,3.9,D,0
9.97694,76.37612,303.57,0.39,0.59,2021-01-02,1947,N,VIIRS,n,2,288.31,1.58,N,2
10.79269,76.77525,302.28,0.37,0.58,2021-01-02,1947,N,VIIRS,n,2,287.62,0.29,N,0
9.97573,76.37663,301.86,0.49,0.65,2021-01-03,2109,N,VIIRS,n,2,282.57,1,N,2
11.77419,76.99072,297.08,0.48,0.48,2021-01-04,2049,N,VIIRS,n,2,285.03,0.58,N,0
8.99411,77.07956,332.63,0.5,0.41,2021-01-05,0755,N,VIIRS,n,2,296.54,5.58,D,0
8.99521,77.08059,331.78,0.49,0.41,2021-01-05,0755,N,VIIRS,n,2,295.12,4.29,D,0
10.60483,76.22113,338.35,0.52,0.42,2021-01-05,0756,N,VIIRS,n,2,294.84,15.66,D,0
9.86436,76.93317,331.88,0.49,0.4,2021-01-05,0756,N,VIIRS,n,2,282.77,5.66,D,0
12.24528,76.73355,297.57,0.4,0.37,2021-01-05,2030,N,VIIRS,n,2,277.31,0.21,N,0
10.71227,76.48893,335.55,0.34,0.56,2021-01-06,0737,N,VIIRS,n,2,291.96,2.86,D,0
10.7139,76.48983,326.86,0.34,0.56,2021-01-06,0737,N,VIIRS,n,2,290.62,2.63,D,0
11.43701,77.31854,326.48,0.4,0.37,2021-01-10,0802,N,VIIRS,n,2,291.85,1.47,D,0
12.77155,76.62663,345.94,0.38,0.36,2021-01-15,0809,N,VIIRS,n,2,300.73,8.74,D,0
12.12968,77.00305,300.29,0.57,0.43,2021-01-15,2043,N,VIIRS,n,2,287.43,0.62,N,0
12.23384,77.04053,331.98,0.55,0.43,2021-01-16,0750,N,VIIRS,n,2,299.51,4.27,D,0
12.15767,77.29366,330.13,0.36,0.57,2021-01-17,0731,N,VIIRS,l,2,303.5,2.62,D,0
9.97662,76.37534,305.85,0.56,0.43,2021-01-17,2006,N,VIIRS,n,2,295,3.85,N,2
8.61182,77.18955,309.15,0.49,0.4,2021-01-17,2006,N,VIIRS,n,2,294.57,1.63,N,0
12.45937,77.26309,331.19,0.52,0.67,2021-01-18,0853,N,VIIRS,n,2,302.68,1.92,D,0
12.45129,77.41461,335.02,0.53,0.67,2021-01-18,0853,N,VIIRS,n,2,301.38,3.42,D,0
